,number,latitude,longitude,cape,sp,tcw,sshf,slhf,msl,u10,v10,t2m,d2m,ssr,str,ttr,sund,skt,sm,st,tcc,tp,mx2t6,mn2t6,year,month,day,dayofweek,hour,minute,second,t2m_predict,time
272,-0.2754071123105202,0.0,0.0,-0.5827374373563158,-0.3996898353028645,1.5092147470235246,1.403989758180018,0.9213082213004289,-0.34007406289751024,1.1106934886270408,3.0091871636272285,-1.7004671637703936,-0.7562358246793554,-0.9676202255199668,0.8475519644698275,0.8806366082266358,-0.9252317825487846,-1.3766838545286402,1.0804125285603696,-1.8540403276717579,1.2434581928839423,-1.6036682093781414,-2.111542500204538,-1.6276988979807274,2025,3,30,6,6,0,0,1.1162394298922393,2025-03-30 06:00:00
285,0.643857167969189,0.0,0.0,-0.5520527127117982,-0.5377187723401431,-0.27086940562728756,1.2609993708109921,0.9488912846395484,-0.48640382717089026,0.4881369563017826,1.657363595394771,-1.2848899694980584,-0.6009494497655024,-0.9704433609526443,0.8717606661332217,0.876021286206516,-0.9124527713423239,-1.1597268690665288,1.169328698577903,-1.560093502256247,1.2434581928839423,-1.4411823743091436,-1.6984603809677212,-0.9851154822534712,2025,3,30,6,6,0,0,3.420036356629449,2025-03-30 06:00:00
304,-1.5482345773131945,0.0,0.0,-0.5290090861650331,0.24958067718452273,-0.6733465518235763,0.33410698925707744,0.8062578123727863,0.2608678133644405,1.516762609778024,-0.7595825252313192,0.01729992174002697,-0.11462622910505049,-0.7718190358502045,0.7919424614255647,0.7796764390365174,-0.7869655906258773,0.3028862540263019,1.0996376464020003,-0.4710742095190223,0.28637970779293953,1.1922087457745925,-0.396612649683217,-0.5678070671246729,2025,3,30,6,12,0,0,10.134406307846742,2025-03-30 12:00:00
314,-0.8411082078672643,0.0,0.0,-0.5127040658147111,0.10117598861595918,-0.6978987511593328,0.8118984939772055,0.773502924657582,0.10034632786166361,1.0273892983807256,-0.6233016554111189,0.4090192398247261,0.10001528374546334,-0.7902411907922521,0.7770411829259608,0.777590668508194,-0.8364560368530185,0.6780359685066075,0.7380743506304636,-0.5510946514846863,-0.9673574854354205,-0.16770964724129445,0.00021050169476469416,-0.5589077448701992,2025,3,30,6,12,0,0,12.38497892146447,2025-03-30 12:00:00
317,-0.6289702970334853,0.0,0.0,-0.5041604758156493,0.34579219138361855,-0.6506829832059534,0.747113205201595,0.8319354667312427,0.3544854702141306,0.7775802111079241,-0.9239244201222392,0.027473280265331936,-0.23287351638291767,-0.8216306288233772,0.794386835185752,0.7748392265346613,-0.8257541794115656,0.3954967741955156,0.3483287798410859,-0.7125610777313827,0.45015917330189065,1.3971169909847554,-0.36826813887051313,-0.5826392708821346,2025,3,30,6,12,0,0,9.802180701007405,2025-03-30 12:00:00
321,-0.3461197492551132,0.0,0.0,-0.4421291991323206,0.17034766549114405,-0.623148735367877,0.8732131422826935,0.8227713568718643,0.17834116554278145,0.7535720469624022,-0.896189686040714,0.2057321287616986,0.0433454796624209,-0.8396221359875586,0.8204288171692868,0.7855343477543616,-0.8418746988486909,0.5831527975357176,0.7297725951988474,-0.4824785480414523,0.3828497065714795,-1.069786179865725,-0.18098569626135635,-0.37472667350560673,2025,3,30,6,12,0,0,11.847888629957842,2025-03-30 12:00:00
334,0.573144531024596,0.0,0.0,-0.4423096975125825,0.37094552842912715,-0.599689953816303,0.7283717466629359,0.7840734078122116,0.3752363903311591,1.1058297657182499,-0.5234566127176283,0.24084372013218483,0.09464461603824459,-0.7935428237558918,0.7935877129949217,0.7783894742424454,-0.8046213976284432,0.585912444937781,1.012250747121869,-0.5643046769398267,-0.023078154325769543,1.0217186823770732,-0.17533418336925286,-0.5060353008877645,2025,3,30,6,12,0,0,10.996813464262557,2025-03-30 12:00:00
341,1.068132989636747,0.0,0.0,-0.5077102772941327,0.21405158860772916,-0.5838850967540126,0.9706224514774509,0.8021294262480168,0.21376083953556707,0.954123004350426,-1.0555284524306527,0.26479162604130035,-0.32565643091105484,-0.8141182175872695,0.7772762188644406,0.7767918627739425,-0.7951387391360165,0.49898355177282727,0.5978183772858534,-0.5192575397762745,-0.2537528744621755,-0.6079422053100061,-0.13194795362832454,-0.3389548879729337,2025,3,30,6,12,0,0,11.622425939792205,2025-03-30 12:00:00
350,-1.8310851250915665,0.0,0.0,-0.48538864426841494,1.0985058024706678,-0.23031354599575177,0.11591939170207445,0.6329109620129586,1.105573371920344,0.3558850865691231,-0.0556640978759032,-0.708069544085819,-0.5428906798960781,-0.6251595426102676,0.7002784454185382,0.685417362394842,-0.6259861738377767,-0.7985377237966504,0.081580269788489,-0.2016467119267376,1.0376776201352147,-0.47507201505654,-0.3869616045905526,0.5943397214003945,2025,3,30,6,18,0,0,9.261054060645868,2025-03-30 18:00:00
362,-0.9825334817564503,0.0,0.0,-0.5195028381379081,0.9145720253254072,-0.49273381419980283,-0.04604383023695152,0.6061898694031868,0.923346901007818,0.09334753296054933,0.05821145735294734,-0.950969732592489,-0.7721626323628298,-0.5646774546966363,0.6306137932531981,0.6632283142211894,-0.5685032011670187,-1.1174393309349318,0.6703495036883619,-0.25619746452566533,1.022103245064055,0.3653719594382704,-0.4301739416271081,0.3602526468048525,2025,3,30,6,18,0,0,7.761841900488176,2025-03-30 18:00:00
368,-0.5582576600888922,0.0,0.0,-0.5651689283441607,1.5044177790427122,-0.38040998727912995,-0.10920948679317206,0.5938954447898621,1.507115602000419,0.13691407220738,-0.6698525032028552,-0.7974690574984088,-0.8080905473697245,-0.5583134375348381,0.6471603233221587,0.6717045306235248,-0.5657938701691825,-0.9272671584928369,1.1070655328408086,-0.09473103827900341,0.9180117435911175,0.23170134635195275,-0.2439348552441887,0.5118901181604432,2025,3,30,6,18,0,0,8.6619695797697,2025-03-30 18:00:00
399,1.6338340851934912,0.0,0.0,-0.510116922364291,0.9560750314504506,-0.4252401164306553,-0.14993166830927004,0.5728905791220789,0.9616287708788128,-0.03538589892319765,-0.4289409895143131,-0.7977391466627992,-0.41816155228191926,-0.5572607429667211,0.6728732549918222,0.6728583611285546,-0.6075627230524905,-0.8976415319707078,-0.052558620606510426,-0.05215484112860482,0.27010117214675394,-0.31178575715469087,-0.124557513692492,0.529950507441576,2025,3,30,6,18,0,0,9.73195160590507,2025-03-30 18:00:00
1193,1.209558263525933,0.0,0.0,-0.5427269630649351,-0.17110888490169698,-0.33726968561225196,-0.13327259405268463,-1.1254639589754107,-0.21103673205498724,-1.3679424924658092,0.8991721001700175,0.0827515292435012,0.9327465715214431,1.016326237355811,-1.0413848659026614,-1.0068525856169337,1.0778217796681464,-0.463889893246618,-1.1119063071298825,0.9977095560149882,-1.434133104256961,-1.3563375540268099,0.890628094433995,1.5526745806466042,2025,4,3,3,18,0,0,14.860648363049812,2025-04-03 18:00:00
1317,-0.6289702970334853,0.0,0.0,0.5149333791428578,0.9104846080555113,0.7984931873042203,-1.475716327895872,-1.2279931088872689,0.8551312325772049,-1.7753568986766703,0.2654062354914003,1.777921154666758,0.8095916051317936,1.3363932358164754,-1.3687899282046818,-1.3125289132571687,1.2980000787589685,1.6448865524290266,-1.6495542049508798,1.0950265780730026,-1.4706666117377132,1.356295426509293,1.3137090441722217,-0.43065280649693377,2025,4,4,4,12,0,0,21.787788556997306,2025-04-04 12:00:00
1333,0.502431894080003,0.0,0.0,1.229646798853101,0.13764832733197802,0.8337807612483259,-0.7688625521476928,-1.2196002359962541,0.08913606067198337,-1.126826016349145,0.21961673334111753,1.7174211818437408,1.0832178650426227,1.2289705401154454,-1.2450200030013476,-1.3035645377950142,1.2286412052143616,1.8136308744550993,-0.7951287972394125,1.3159856369449683,-1.4111029113325864,0.9352730164290363,1.2598892521689509,-0.714384139551257,2025,4,4,4,12,0,0,20.64290869595409,2025-04-04 12:00:00
1343,1.209558263525933,0.0,0.0,1.5381185307206335,-1.6755928569366667,1.5452975339015815,-0.28991416727085706,-1.2879227580171646,-1.6984245234300548,-1.5429330337161438,0.7758341062545288,1.617758280184415,1.1579442243482125,1.2374877961665738,-1.3270005383430168,-1.3196737867690855,1.3056313610695403,1.6188322343095565,-1.216115184521438,1.0146259914898934,-1.2322461252760233,-1.251482162923172,1.1511193655839855,-0.9346859894781152,2025,4,4,4,12,0,0,20.520685910440328,2025-04-04 12:00:00
1363,-0.9118208448118573,0.0,0.0,-0.5092745965897355,-0.7505788870878135,-1.8716330416719977,-2.7698024711886946,-1.2845656088607587,-0.6965367078958968,-0.8420395175195057,-0.9113078352067218,-1.3804115039700982,-2.6628228607415405,1.4018038482990185,-1.341760795279533,-1.3520697971026183,1.2942070153619976,-1.3104523168791509,-1.406837092200317,-0.5329427460031354,0.15784969224557563,0.9376742849275911,-1.1974754996706403,-0.13662617906980135,2025,4,4,4,18,0,0,9.280482923800252,2025-04-04 18:00:00
1383,0.502431894080003,0.0,0.0,0.6504876627195204,-0.5436926898884411,0.7767242332372936,-1.0273095791561104,-1.459953968842725,-0.5838377451915575,-0.8027158003845989,-0.325180454950489,0.6927929218754943,1.0142325643205974,1.4422847394184264,-1.3787084448085192,-1.4160186339390841,1.4372596920477487,-0.12769990679542095,-1.0319472942885624,1.850278896720607,-1.4626723181506553,0.9352730164290363,1.3912651903223463,2.1798150548146555,2025,4,4,4,18,0,0,17.411740395665237,2025-04-04 18:00:00
1393,1.209558263525933,0.0,0.0,3.271805473135876,-2.895215286931154,2.3736112062289916,-0.47617187250073806,-1.4912571163821864,-2.90865634726538,-0.8270344149285543,0.2881378410719445,0.5662111334987914,1.9987315136850115,1.411182399905879,-1.4222371006149328,-1.4119802271714799,1.4547800325004228,0.057521133542971815,-1.3705715289990643,1.5789506760412335,1.2429611383603947,-0.08766736395607555,1.4394334694335136,2.029311810805197,2025,4,4,4,18,0,0,16.4201054159098,2025-04-04 18:00:00
